# Derivatives solution step at time 0 performed in 0 iterations with 0 error
# Key for lines starting with "Step":
# Step Time TStep NIter ResErr SolErr SolConv Out
Step 0 0 0 0 0 0 0 1
Step 1 0.005 0.005 0 0 0 0 1
Info: 0, success BALANC="P" ILO=7 IHI=342 ABNRM=5.87495e+08 BBNRM=5.87847e+08
Mode n.       Real           Imag             Damp %     Freq Hz
Step 64 0.32 0.005 0 9.675e-05 0 0 1
Step 65 0.325 0.005 1 4.74158e-08 0 0 1
Step 66 0.33 0.005 1 5.44042e-08 0 0 1
Step 67 0.335 0.005 1 4.11874e-08 0 0 1
Step 68 0.34 0.005 1 3.77252e-08 0 0 1
Step 69 0.345 0.005 0 5.46672e-05 0 0 1
Step 70 0.35 0.005 1 3.2963e-08 0 0 1
Step 71 0.355 0.005 1 4.60008e-08 0 0 1
Step 72 0.36 0.005 1 4.03139e-08 0 0 1
Step 73 0.365 0.005 0 8.04966e-05 0 0 1
Step 74 0.37 0.005 1 5.51651e-08 0 0 1
Step 75 0.375 0.005 93 5.62084e-06 0 0 1
Step 76 0.38 0.005 1 1.23016e-07 0 0 1
Step 77 0.385 0.005 209 1.43757e-05 0 0 1
Step 78 0.39 0.005 1 3.72766e-08 0 0 1
Step 79 0.395 0.005 1 3.10897e-08 0 0 1
Step 80 0.4 0.005 1 5.34589e-08 0 0 1
Step 81 0.405 0.005 1 6.03676e-08 0 0 1
Step 82 0.41 0.005 0 2.94467e-05 0 0 1
Step 83 0.415 0.005 0 8.22601e-05 0 0 1
Step 84 0.42 0.005 25 3.54103e-08 0 0 1
Step 85 0.425 0.005 11 1.93676e-05 0 0 1
Step 86 0.43 0.005 1 6.89009e-08 0 0 1
Step 87 0.435 0.005 45 1.54249e-05 0 0 1
Step 88 0.44 0.005 56 2.87648e-07 0 0 1
Step 89 0.445 0.005 114 5.15988e-05 0 0 1
Step 90 0.45 0.005 1 6.35983e-08 0 0 1
Step 91 0.455 0.005 2 3.31257e-05 0 0 1
Step 92 0.46 0.005 44 1.89244e-05 0 0 1
Step 93 0.465 0.005 101 2.74215e-05 0 0 1
Step 94 0.47 0.005 2 2.71098e-06 0 0 1
Step 95 0.475 0.005 25 3.6089e-05 0 0 1
Step 96 0.48 0.005 2 4.3595e-06 0 0 1
Step 97 0.485 0.005 142 2.15347e-05 0 0 1
Step 98 0.49 0.005 56 7.77189e-05 0 0 1
Step 99 0.495 0.005 97 5.51876e-06 0 0 1
Step 100 0.5 0.005 1 9.20405e-06 0 0 1
Step 101 0.505 0.005 1 2.138e-05 0 0 1
Step 102 0.51 0.005 1 4.69643e-05 0 0 1
